stanice,sirka,delka,teplota
O1LYSA01,49.5461111111111,18.4477777777778,-8.4
O1MOSN01,49.6941666666667,18.12,-4.7
B2BTUR01,49.1597222222222,16.6955555555556,-6.3
P3PRIB01,49.5902777777778,15.7625,-6.1
P3KOSE01,49.5597222222222,15.1111111111111,-1.5
P1PLIB01,50.0083333333333,14.4480555555556,-0.1
P1PRUZ01,50.1008333333333,14.2577777777778,-0.3
U2LIBC01,50.7691666666667,15.025,-1.2
U1MILE01,50.5547222222222,13.9313888888889,-2.5
C1KOCE01,49.465,13.8311111111111,-0.8
L2PRIM01,49.6694444444444,12.6794444444444,-2.3
